,Ищет работу на должность:,vac1,vac2,vac3
3718,аналитик,Ведущий системный аналитик,Аналитик данных в группу управления метаданными,Ведущий системный аналитик
3719,web developer junior,Web-дизайнер,Web-дизайнер,Web-программист
3720,финансовый аналитик,Финансовый аналитик,Бизнес-аналитик в IT-дирекции (финансовый учет),Финансовый аналитик (отдел экономического моделирования)
3721,руководитель проекта бизнес аналитик,Руководитель проекта (общестроительные работы),Руководитель отдела информационной безопасности,"Руководитель проекта, начальник участка"
3722,web разработчик верстальщик,Web-дизайнер,Web-дизайнер,Web-программист
3723,тестировщик по аналитик,Тестировщик,Тестировщик ПО,Тестировщик
3724,аналитик пм фриланс,Системный аналитик,Младший аналитик,Экономист-аналитик Планово-экономического отдела
3725,главный инженер программист,Главный специалист (по защите конфиденциальной информации),Главный специалист отделения информатизации и обеспечения информационной безопасности,Главный специалист отдела режима секретности
3726,qa team lead,Инженер по тестированию (QA),QA-инженер (004),QA Manual Engineer
3727,php developer,PHP-разработчик (удаленно),PHP-разработчик (Laravel) Junior,PHP-программист (SEO-правки)
3728,программист разработчик,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер-программист
3729,инженер программист,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер по слаботочным сетям пульта централизованной охраны ЧОП
3730,аналитик,Аналитик (удаленно),Аналитик / Бухгалтер-консультант 1С УХ / 1С: ERP,Бизнес-аналитик
3731,qa engineer,Инженер по тестированию (QA),QA-инженер (004),QA Manual Engineer
3732,программист 1с автосалон отель,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер-программист
3733,программист c,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер-программист
3734,системный инженер windows linux,Системный аналитик,Системный аналитик/технический писатель,Системный аналитик
3735,инженер разработчик,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер по слаботочным сетям пульта централизованной охраны ЧОП
3736,junior data scientist,Программист 1C:ERP (Junior),Junior trade marketing manager / Трейд-маркетолог,Ассистент маркетолога (junior продукт-менеджер)
3737,системный аналитик,Системный аналитик,Системный аналитик/технический писатель,Системный аналитик
3738,инженер программист,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер по слаботочным сетям пульта централизованной охраны ЧОП
3739,программист 1с совмещение,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер-программист
3740,senior php developer,Senior Civil Structural Designer / Ведущий инженер-проектировщик (ПГС),Senior Python developer (Team Lead) / Fullstack developer,Senior motion designer
3741,инженер программист,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер по слаботочным сетям пульта централизованной охраны ЧОП
3742,аналитик,Аналитик / Бухгалтер-консультант 1С УХ / 1С: ERP,Аналитик (удаленно),Ведущий системный аналитик
3743,веб разработчик javascript php,Веб-разработчик,Технический писатель в отдел веб-разработки,Системный аналитик (ВЕБ)
3744,стажер программист,Стажер (Системный аналитик),Системный аналитик / Бизнес-аналитик (стажер),Стажер-системный аналитик
3745,android разработчик,Android Developer (Middle),IOS и Android разработчик,Android developer (Kotlin)
3746,инженер программист,Инженер-программист C++,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,Инженер по слаботочным сетям пульта централизованной охраны ЧОП
3747,разработчик c unity asp mvc net core js html5,Разработчик Flutter developer,Ведущий разработчик встраиваемых систем,Разработчик СВЧ-устройств - синтезаторов частот
3748,фронтенд разработчик,Инженер-программист,Специалист по защите информации,Региональный менеджер управления безопасности региона
3749,системный администратор linux,Системный администратор (главный консультант) в Главное контрольное управление Кузбасса,Ведущий системный аналитик,Системный аналитик
3750,junior qa engineer,Системный аналитик Junior,Junior trade marketing manager / Трейд-маркетолог,Ассистент маркетолога (junior продукт-менеджер)
3751,аналитик,Аналитик (удаленно),Аналитик / Бухгалтер-консультант 1С УХ / 1С: ERP,Аналитик 1С
3752,аналитик,Аналитик,Аналитик / Бухгалтер-консультант 1С УХ / 1С: ERP,Ведущий системный аналитик
3753,начинающий специалист ученик программиста vb net c net,"Начинающий специалист, оператор аттракциона (ТК Космос)",Сервис-менеджер (начинающий специалист),Начинающий специалист в IT
3754,программист разработчик java backend,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3755,junior frontend разработчик,Системный аналитик Junior,Junior trade marketing manager / Трейд-маркетолог,Ассистент маркетолога (junior продукт-менеджер)
3756,frontend разработчик junior,Frontend Developer (React),QA Engineer (Frontend),Frontend-разработчик (React)
3757,ios программист стажер,IOS и Android разработчик,IOS и Android разработчик,IOS developer
3758,инженер программист,Инженер-программист,DevOps-инженер,Ведущий инженер-программист C#
3759,программист 1с аналитик 1с,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3760,программист,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3761,бизнес аналитик,Бизнес-ассистент маркетолога (удаленно),Системный аналитик / Бизнес-аналитик (стажер),Аналитик бизнес-процессов
3762,аналитик,Аналитик (удаленно),Финансовый аналитик,Химик-аналитик лаборатории контроля качества
3763,junior python разработчик,Системный аналитик Junior,Android Developer Middle / Junior+ разработчик андроид,Junior trade marketing manager / Трейд-маркетолог
3764,data scientist,Data Scientist,Специалист по информационной безопасности с функцией DPO / Information Security and Data Protection,Data Analyst
3765,ведущий программист 1c,Ведущий системный аналитик,Ведущий инженер-программист C#,Ведущий специалист-эксперт отдела организационно-технической защиты информации
3766,web мастер web разработчик администратор сайта,Web-дизайнер,Web-программист,Web-аналитик / Marketing Analyst / BI-аналитик / Аналитик данных
3767,программист 1с начальник отдела ит,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3768,инженер программист главный инженер,Инженер-программист,DevOps инженер,DevOps инженер
3769,программист разработчик,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3770,java developer,Java-программист / backend разработчик,Backend-разработчик (Java / Kotlin) senior,Ведущий инженер-программист Java Spring-разработчик
3771,junior qa engineer,Системный аналитик Junior,Junior trade marketing manager / Трейд-маркетолог,Ассистент маркетолога (junior продукт-менеджер)
3772,php senior lead cto,PHP-разработчик (удаленно),Senior PHP developer (Full stack),Full Stack PHP Developer
3773,аналитик технической поддержки,Ведущий инвестиционный аналитик,Финансовый аналитик,Аналитик 1С
3774,инженер программист,Инженер-программист,Ведущий инженер-программист C#,Инженер по защите информации в автоматизированных системах
3775,бизнес аналитик,Бизнес-ассистент маркетолога (удаленно),Системный аналитик / Бизнес-аналитик (стажер),Аналитик бизнес-процессов
3776,системный аналитик,Системный администратор (главный консультант) в Главное контрольное управление Кузбасса,Ведущий системный аналитик,Системный аналитик
3777,программист java,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3778,front end разработчик,Frontend Developer (React),QA Engineer (Frontend),Front-end разработчик junior
3779,junior full stack web developer,Системный аналитик Junior,Junior trade marketing manager / Трейд-маркетолог,Ассистент маркетолога (junior продукт-менеджер)
3780,аналитик,Ведущий маркетолог-аналитик,Бизнес-аналитик,"Бизнес-аналитик / Системный аналитик (продуктовая ИТ-компания, удаленно)"
3781,аналитик,Аналитик (удаленно),Ведущий системный аналитик,Team lead (системный аналитик)
3782,программист микроконтроллеров разработчик электронщик,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3783,системный администратор программист ит специалист,System analyst / Системный аналитик,Системный администратор (главный консультант) в Главное контрольное управление Кузбасса,Ведущий системный аналитик
3784,руководитель проекта аналитик,Руководитель отдела технической поддержки,Руководитель отдела информационной безопасности,Руководитель группы сводной управленческой отчетности (удаленно)
3785,software architect,Assistant Professor - Software Development and Engineering (english),Инженер по тестированию / Software Tester,Middle/Senior PHP Developer / Software Engineer PHP
3786,аналитик,Финансовый аналитик,Химик-аналитик лаборатории контроля качества,Химик-аналитик
3787,аналитик hr постановщик задач специалист по внедрению и сопровождению sap hr,Ведущий системный аналитик,Ведущий системный аналитик,Финансовый аналитик
3788,frontend web developer,Frontend Developer (React),QA Engineer (Frontend),Frontend-разработчик (React)
3789,программист java remote,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3790,junior developer web разработчик администратор бд,Системный аналитик Junior,Junior trade marketing manager / Трейд-маркетолог,Ассистент маркетолога (junior продукт-менеджер)
3791,программист python,Инженер-программист,Ведущий инженер-программист C#,Инженер-программист станков с ПУ
3792,ведущий разработчик net sql,Ведущий системный аналитик,Ведущий инженер-программист C#,Ведущий специалист-эксперт отдела организационно-технической защиты информации
3793,аналитик,"Аналитик 1С (ERP, MES, WMS)",Fullstack аналитик /Системный аналитик,"Бизнес-аналитик / Системный аналитик (продуктовая ИТ-компания, удаленно)"
3794,аналитик данных,Аналитик-методолог 1С,Финансовый аналитик,"Бизнес-аналитик / Системный аналитик (продуктовая ИТ-компания, удаленно)"
3795,html верстальщик front end разработчик,Региональный менеджер управления безопасности региона,Младший инспектор отдела безопасности,Сотрудник отдела безопасности (Мониторинг видеонаблюдение)
3796,аналитик,Ведущий системный аналитик,Аналитик-методолог 1С,Ведущий системный аналитик
3797,программист разработчик middle developer,Программист станков ЧПУ,Инженер - программист С/С++,Программист 1С
3798,программист,Программист станков ЧПУ,Инженер - программист С/С++,Программист 1С
3799,frontend разработчик стажёр,Frontend-разработчик,Frontend-разработчик,"Middle frontend developer (React, TypeScript)"
3800,junior qa engineer,Программист 1C:ERP (Junior),Системный аналитик Junior,Системный аналитик (Junior)
3801,руководитель ит отдела заместитель руководителя ит отдела программист 1с,Руководитель строительного отдела,Руководитель группы обеспечения безопасности объектов критической информационной инфраструктуры,Руководитель направления ИБ
3802,программист консультант 1c,Программист станков ЧПУ,Инженер - программист С/С++,Программист 1С
3803,web разработчик,UX/UI дизайнер / Web-дизайнер,Web-дизайнер,Web-программист
3804,веб разработчик,Ассистент в группу веб-аналитики (digital-агентство),Веб-разработчик,Веб-дизайнер
3805,техник программист,Техник,Дизайнер-проектировщик/светотехник,"IT-специалист / техник-монтажник (IP домофония, видеонаблюдения)"
3806,android developer,Android Developer (Middle),Android разработчик,Android Developer (Middle+)
3807,blockchain developer,Java-программист / backend разработчик,Дизайнер,Старший менеджер информационной безопасности
3808,аналитик,Химик-аналитик,Экономист-аналитик отдела продаж,Системный аналитик
3809,python junior,Разработчик Go (+ Python),Python разработчик / Python developer,Python Back-end Разработчик / Python Back-end Developer
3810,инженер системный аналитик сотрудник технического сопровождения обеспечения младший программист,Главный специалист бюро инженерно-технического обеспечения,Инженер-программист,Инженер направления «Центр управления сетью-NOC»
3811,программист c с,Java-программист / backend разработчик,Инженер-программист,Инженер-программист (различных категорий) Отдела разработки программного обеспечения
3812,программист python junior,Java-программист / backend разработчик,Инженер-программист,Инженер-программист (различных категорий) Отдела разработки программного обеспечения
3813,инженер программист,Главный специалист бюро инженерно-технического обеспечения,Инженер-программист,Инженер направления «Центр управления сетью-NOC»
3814,ux ui дизайнер,Senior UX/UI Дизайнер (Мобильные приложения),UI/UX дизайнер (игры для mobile),Senior UX/UI Designer
3815,программист 1c,Java-программист / backend разработчик,Инженер-программист,Инженер-программист (различных категорий) Отдела разработки программного обеспечения
3816,стажер разработчик,Стажер-программист 1С,Стажер в центр декоративных материалов,Стажер интернет-маркетолог
3817,старший программист 1с,Старший менеджер информационной безопасности,Старший специалист 1 разряда отдела информатизации,Старший аудитор по информационной безопасности
3818,html верстальщик,Системный аналитик DWH,Frontend-разработчик,System Analyst - Insurance Tech - Core team
3819,программист,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3820,системный аналитик,Системный аналитик DWH,Бизнес-аналитик/ Системный аналитик,Системный аналитик
3821,аналитик,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3822,программист стажер,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3823,web программист,Web (Angular) Developer,Web-дизайнер Junior +/ Middle,Дизайнер / Middle Product Designer (Desktop+Web) B2B
3824,web программист,Web (Angular) Developer,Web-дизайнер Junior +/ Middle,Дизайнер / Middle Product Designer (Desktop+Web) B2B
3825,программист,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3826,верстальщик html bootstrap4 sass scss koala github,Дизайнер-верстальщик,Дизайнер-верстальщик,Старший дизайнер-верстальщик (технический дизайнер)
3827,qa automation engineer,"QA Engineer (Faktura.ru, ЦР)",QA-инженер в команду сервисов для найма и развития сотрудников,Тестировщик 1С / QA engineer
3828,программист python junior,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3829,аналитик dwh,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3830,системный администратор it engineer,Системный аналитик DWH,Бизнес-аналитик/ Системный аналитик,Системный аналитик
3831,qa engineer,"QA Engineer (Faktura.ru, ЦР)",QA-инженер в команду сервисов для найма и развития сотрудников,Тестировщик 1С / QA engineer
3832,математик программист,Математик-аналитик (data scientist / data analyst),Математик - программист,Программист-математик С++
3833,аналитик,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3834,программист разработчик,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3835,devops системный администратор,DevOps инженер,DevOps Engineer,Middle+ DevOps инженер [СОРМ]
3836,инженер по анализу радиосети ran engineer,Инженер по тестированию Fullstack,Инженер по тестированию (Full-stack),Инженер по информационной безопасности
3837,аналитик,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3838,техник программист,Техник,Программист С++ (отдел робототехники),Техник ОПС
3839,аналитик,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3840,web программист,Web (Angular) Developer,Web-дизайнер Junior +/ Middle,Дизайнер / Middle Product Designer (Desktop+Web) B2B
3841,аналитик,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3842,react native разработчик,Разработчик iOS и Android на React Native,Frontend-разработчик (React),"Frontend developer (React, Bitrix)"
3843,программист баз данных,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3844,аналитик,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3845,программист,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3846,программист разработчик,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3847,программист python,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3848,frontend developer html developer,Frontend-разработчик,Frontend-разработчик (React),"Frontend developer (React, Bitrix)"
3849,devops teamlead devops архитектор,DevOps инженер,DevOps Engineer,Middle+ DevOps инженер [СОРМ]
3850,php разработчик,Middle PHP программист [Bronevik],PHP разработчик (Middle),Программист PHP
3851,web разработчик,Web (Angular) Developer,Web-дизайнер Junior +/ Middle,Дизайнер / Middle Product Designer (Desktop+Web) B2B
3852,junior java developer,Java Developer [Junior],Java Developer [Junior],Game designer generalist (HC) middle/junior
3853,аналитик тестировщик crm специалист,Системный аналитик DWH,Системный аналитик,Системный аналитик (АБС)
3854,web разработчик,Web (Angular) Developer,Web-дизайнер Junior +/ Middle,Дизайнер / Middle Product Designer (Desktop+Web) B2B
3855,программист c,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3856,программист 1c удаленно,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3857,frontend разработчик,Frontend-разработчик,Frontend-разработчик (React),"Frontend developer (React, Bitrix)"
3858,программист,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3859,программист разработчик,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3860,junior android developer,Java Developer [Junior],Java Developer [Junior],Game designer generalist (HC) middle/junior
3861,системный аналитик,Системный аналитик DWH,Бизнес-аналитик/ Системный аналитик,Системный аналитик
3862,web designer ui ux designer,Web (Angular) Developer,Web-дизайнер Junior +/ Middle,Дизайнер / Middle Product Designer (Desktop+Web) B2B
3863,frontend разработчик,Frontend-разработчик,Frontend-разработчик (React),"Frontend developer (React, Bitrix)"
3864,system administrator linux devops,System Analyst - Insurance Tech - Core team,Системный аналитик / System Analyst,System Analyst
3865,python django developer junior,Python backend developer,Python-разработчик,Middle Backend-разработчик Python / Data Engineer (удаленно)
3866,менеджер проектов e commerce системный аналитик,Региональный менеджер управления безопасности региона,Менеджер по розничному маркетингу / Trade Marketing Manager,Менеджер по маркетингу Performance
3867,программист консультант 1c,Middle PHP программист [Bronevik],Программист 1cfresh,Программист разработчик (Kotlin)
3868,корпоративный архитектор аналитик проектный менеджер,Ночной помощник декоратора,Художник-дизайнер по оформлению тортов,Продавец консультант - дизайнер в салон штор (Метроград)
3869,системный администратор linux,Системный администратор,Стажер-системный аналитик,Системный аналитик
3870,chief data engineer,Электромонтёр средств ОПС,Инженер-программист,Специалист отдела ИТ
3871,web разработчик,Web-программист,Web-дизайнер,".NET Разработчик (Web, .Net Core)"
3872,программист notonly backend php7 laravel cakephp mysql nginx nosql spinxsearch jquery,Инженер-программист,Технолог-программист (ЧПУ),Инженер-программист 1С
3873,программист ведущий программист,Инженер-программист,Технолог-программист (ЧПУ),Инженер-программист 1С
3874,html верстальщик front end разработчик,Аналитик бренда ZARINA,Инженер - программист 1С,Руководитель отдела информационной безопасности
3875,программист,Инженер - программист 1С,Инженер-программист C++,Инженер-программист С++/Qt (разработка специального программного обеспечения)
3876,art director product design ui ux,3D Character Artist,"Веб-мастер CMS Modx, Opencart, Joomla, Wordpress,  Bitrix 1C",3D Environment Artist
3877,qa lead,Инженер по тестированию (QA),QA-инженер (004),QA Mobile Engineer
3878,программист unity 3d c,Инженер - программист 1С,Инженер-программист C++,Инженер-программист С++/Qt (разработка специального программного обеспечения)
3879,разработчик python,Инженер-разработчик / инженер-программист / embedded developer,Инженер-разработчик,Ведущий инженер-программист Java Spring-разработчик
3880,аналитик бд pl sql,Системный аналитик,Главный кредитный аналитик,Главный кредитный аналитик
3881,аналитик,Системный аналитик,Главный кредитный аналитик,Главный кредитный аналитик
3882,аналитик,Системный аналитик,Главный кредитный аналитик,Главный кредитный аналитик
3883,программист 1с,Инженер - программист 1С,Инженер-программист C++,Инженер-программист С++/Qt (разработка специального программного обеспечения)
3884,главный бизнес системный аналитик руководитель проектов,Главный специалист (по защите конфиденциальной информации),Главный кредитный аналитик,Главный кредитный аналитик
3885,html верстальщик front end разработчик,Оператор котельной,Оператор-заправщик на АЗС,Специалист отдела внедрения и развития информационных систем
3886,junior javascript разработчик верстальщик,Front-end разработчик junior,Системный аналитик Junior,Junior product manager (part time / совместительство)
3887,руководитель проектов ведущий программист специализация 1с предприятие,Маркетолог/Руководитель отдела маркетинга,Руководитель проекта по открытию и развитию музея,"Руководитель проекта, начальник участка"
3888,сис администратор программист,Chief Information Security Officer/CISO (Платежная система),Специалист отдела внедрения и развития информационных систем,Аналитик / Системный аналитик
3889,инженер программист,DevOps инженер,Инженер по информационной безопасности,Инженер-программист станков с программным управлением
3890,qa engineer it recruiter,QA Engineer (Frontend),QA-инженер по автоматизации тестирования в команду Новостроек,Senior QA Automation
3891,software qa engineer,Software engineering manager (HW/SW Co-Design),Assistant Professor - Software Development and Engineering (english),Senior software engineer Go / Старший инженер-программист Go (TATLIN.UNIFIED)
3892,инженер программист c mssql,DevOps инженер,Инженер по информационной безопасности,Инженер-программист станков с программным управлением
3893,системный программист,Системный администратор (главный консультант) в Главное контрольное управление Кузбасса,Системный администратор,"Системный аналитик (удалённая работа, middle/senior)"
3894,бизнес аналитик системный аналитик,Бизнес-аналитик / Менеджер проекта,Бизнес-аналитик,Бизнес-аналитик по оборотным средствам
3895,бизнес аналитик,Бизнес-аналитик / Менеджер проекта,Бизнес-аналитик,Бизнес-аналитик по оборотным средствам
3896,программист,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3897,руководитель группы разработчиков аналитик архитектор ис,Маркетолог/Руководитель отдела маркетинга,Руководитель проекта по открытию и развитию музея,"Руководитель проекта, начальник участка"
3898,backend node js developer frontend react developer intern or junior,Backend-разработчик (Java / Kotlin) senior,Senior Backend Developer (Java + Kotlin),Backend-разработчик (Java) middle
3899,программист 1с,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3900,аналитик бизнес процессов,Маркетолог-аналитик,Маркетолог-Аналитик,Аналитик (удаленно)
3901,системный аналитик,Lead системный аналитик,Системный администратор (главный консультант) в Главное контрольное управление Кузбасса,Системный администратор
3902,веб разработчик,Технический писатель в отдел веб-разработки,Менеджер веб-проектов (разработка сайтов),Веб-разработчик
3903,начинающий программист 1с,"Начинающий специалист, оператор аттракциона (ТК Космос)",Аналитик (начинающий специалист),Сервис-менеджер (начинающий специалист)
3904,программист java,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3905,программист 1c,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3906,руководитель направления бизнес аналитики старший аналитик,Маркетолог/Руководитель отдела маркетинга,Руководитель проекта по открытию и развитию музея,"Руководитель проекта, начальник участка"
3907,аналитик,Маркетолог-аналитик,Маркетолог-Аналитик,Ведущий системный аналитик
3908,qa engineer,QA Engineer (Frontend),QA-инженер по автоматизации тестирования в команду Новостроек,Senior QA Automation
3909,программист разработчик,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3910,инженер программист,Инженер по информационной безопасности,Инженер-программист станков с программным управлением,Инженер по установкам программного обеспечения
3911,программист 1с 8,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3912,программист,Инженер-программист станков с программным управлением,Программист-технолог (по написанию программ для ЧПУ),Технолог-программист (ЧПУ)
3913,начальник it отдела программист 1с it специалист,Начальник автоматизированных систем управления,Заместитель начальника отдела по защите информации,Начальник отдела информационного обеспечения и информационной безопасности
3914,веб разработчик,Технический писатель в отдел веб-разработки,Менеджер веб-проектов (разработка сайтов),Веб-разработчик
3915,bi разработчик,BI-разработчик (Qlik Sense),BI Developer (разработчик),Программист BI (QlikView/Qlik Sense)
3916,инженер программист,DevOps-инженер,Инженер по информационной безопасности,Инженер-программист станков с программным управлением
3917,главный специалист html верстальщик контент менеджер,Главный специалист отдела режима секретности,"Главный инспектор, г. Мирный",Главный специалист отдела информационной безопасности
3918,ведущий программист главный программист,Ведущий творческих мастер-классов для взрослых,Ведущий специалист по информационной безопасности,Ведущий специалист-эксперт отдела организационно-технической защиты информации
3919,инженер программист,Инженер по информационной безопасности,Инженер-программист станков с программным управлением,Инженер по установкам программного обеспечения
3920,веб программист,Технический писатель в отдел веб-разработки,Менеджер веб-проектов (разработка сайтов),Веб-разработчик
3921,html верстальщик,Senior Civil Structural Designer / Ведущий инженер-проектировщик (ПГС),Ведущий системный аналитик,Ведущий Java Backend разработчик
3922,веб разработчик стажер,Веб-дизайнер,Старший веб-дизайнер,Системный аналитик (ВЕБ)
3923,data scientist nlp,"Ресечер (Product, Design, Data Science & Analytics)",Эксперт по data privacy в compliance Яндекс 360,Middle Data Engineer (pipelines/databases)
